scientific_name,common_name
Agelaius phoeniceus,Red-winged Blackbird
Bubo virginianus,Great Horned Owl
Regulus satrapa,Golden-crowned Kinglet
Anas platyrhynchos,Mallard
Fulica americana,American Coot
Meleagris gallopavo,Wild Turkey
Catharus guttatus,Hermit Thrush
Bucephala albeola,Bufflehead
Cygnus columbianus,Tundra Swan
Spatula clypeata,Northern Shoveler
Aix sponsa,Wood Duck
Spatula discors,Blue-winged Teal
Aythya marila,Greater Scaup
Setophaga coronata,Yellow-rumped Warbler
Aythya valisineria,Canvasback
Sialia sialis,Eastern Bluebird
Molothrus ater,Brown-headed Cowbird
Turdus migratorius,American Robin
Colaptes auratus,Northern Flicker
Catharus ustulatus,Swainson's Thrush
Toxostoma rufum,Brown Thrasher
Sayornis phoebe,Eastern Phoebe
Antigone canadensis,Sandhill Crane
Grus americana,Whooping Crane
Sturnella magna,Eastern Meadowlark
Spinus tristis,American Goldfinch
Egretta thula,Snowy Egret
Branta canadensis,Canada Goose
Cardinalis cardinalis,Northern Cardinal
Mimus polyglottos,Northern Mockingbird
Piranga rubra,Summer Tanager
Calidris alpina,Dunlin
Cygnus buccinator,Trumpeter Swan
Setophaga castanea,Bay-breasted Warbler
Setophaga tigrina,Cape May Warbler
Setophaga pensylvanica,Chestnut-sided Warbler
Asio flammeus,Short-eared Owl
Haliaeetus leucocephalus,Bald Eagle
Plectrophenax nivalis,Snow Bunting
Xanthocephalus xanthocephalus,Yellow-headed Blackbird
Aythya americana,Redhead
Setophaga fusca,Blackburnian Warbler
Setophaga virens,Black-throated Green Warbler
Setophaga caerulescens,Black-throated Blue Warbler
Setophaga ruticilla,American Redstart
Leiothlypis peregrina,Tennessee Warbler
Setophaga palmarum,Palm Warbler
Piranga olivacea,Scarlet Tanager
Oxyura jamaicensis,Ruddy Duck
Phasianus colchicus,Ring-necked Pheasant
Falco sparverius,American Kestrel
Aythya collaris,Ring-necked Duck
Calidris melanotos,Pectoral Sandpiper
Troglodytes aedon,House Wren
Zenaida macroura,Mourning Dove
Ardea herodias,Great Blue Heron
Passerina cyanea,Indigo Bunting
Melospiza melodia,Song Sparrow
Buteo jamaicensis,Red-tailed Hawk
Pandion haliaetus,Osprey
Spizelloides arborea,American Tree Sparrow
Junco hyemalis,Dark-eyed Junco
Cyanocitta cristata,Blue Jay
Melanerpes carolinus,Red-bellied Woodpecker
Dryobates pubescens,Downy Woodpecker
Setophaga petechia,Yellow Warbler
Geothlypis trichas,Common Yellowthroat
Melospiza melodia melodia,Eastern Song Sparrow
Haemorhous mexicanus,House Finch
Megaceryle alcyon,Belted Kingfisher
Antrostomus vociferus,Eastern Whip-poor-will
Poecile atricapillus,Black-capped Chickadee
Contopus virens,Eastern Wood-Pewee
Vireo olivaceus,Red-eyed Vireo
Catharus fuscescens,Veery
Actitis macularius,Spotted Sandpiper
Chordeiles minor,Common Nighthawk
Sphyrapicus varius,Yellow-bellied Sapsucker
Tachycineta bicolor,Tree Swallow
Hylocichla mustelina,Wood Thrush
Pheucticus ludovicianus,Rose-breasted Grosbeak
Spizella passerina,Chipping Sparrow
Icterus galbula,Baltimore Oriole
Larus delawarensis,Ring-billed Gull
Sterna,Typical Terns
Sitta canadensis,Red-breasted Nuthatch
Dryobates villosus villosus,Eastern Hairy Woodpecker
Zonotrichia albicollis,White-throated Sparrow
Empidonax traillii,Willow Flycatcher
Progne subis,Purple Martin
Bombycilla cedrorum,Cedar Waxwing
Dryocopus pileatus,Pileated Woodpecker
Sitta carolinensis,White-breasted Nuthatch
Certhia americana,Brown Creeper
Cathartes aura,Turkey Vulture
Acanthis flammea,Common Redpoll
Lophodytes cucullatus,Hooded Merganser
Mergus serrator,Red-breasted Merganser
Ardea alba,Great Egret
Scolopax minor,American Woodcock
Tympanuchus cupido,Greater Prairie-Chicken
Eremophila alpestris,Horned Lark
Loxia leucoptera,White-winged Crossbill
Gallinago delicata,Wilson's Snipe
Pipilo erythrophthalmus,Eastern Towhee
Melanerpes erythrocephalus,Red-headed Woodpecker
Podiceps nigricollis,Eared Grebe
Spizella pusilla,Field Sparrow
Podilymbus podiceps,Pied-billed Grebe
Circus hudsonius,Northern Harrier
Porzana carolina,Sora
Tringa solitaria,Solitary Sandpiper
Baeolophus bicolor,Tufted Titmouse
Tyrannus tyrannus,Eastern Kingbird
Archilochus colubris,Ruby-throated Hummingbird
Dumetella carolinensis,Gray Catbird
Calidris minutilla,Least Sandpiper
Icterus spurius,Orchard Oriole
Polioptila caerulea,Blue-gray Gnatcatcher
Seiurus aurocapilla,Ovenbird
Aves,Birds
Nycticorax nycticorax,Black-crowned Night-Heron
Butorides virescens,Green Heron
Meleagris gallopavo silvestris,Eastern Wild Turkey
Corvus brachyrhynchos,American Crow
Buteo lagopus,Rough-legged Hawk
Phalacrocorax auritus,Double-crested Cormorant
Pelecanus erythrorhynchos,American White Pelican
Hirundo rustica,Barn Swallow
Sturnus vulgaris,European Starling
Passer domesticus,House Sparrow
Quiscalus quiscula,Common Grackle
Bubo scandiacus,Snowy Owl
Hydroprogne caspia,Caspian Tern
Sterna hirundo,Common Tern
Accipiter cooperii,Cooper's Hawk
Dryobates villosus,Hairy Woodpecker
Falco columbarius,Merlin
Setophaga coronata coronata,Myrtle Warbler
Melospiza georgiana,Swamp Sparrow
Podiceps auritus,Horned Grebe
Gavia immer,Common Loon
Passerellidae,New World Sparrows
Passerella iliaca,Fox Sparrow
Aquila chrysaetos,Golden Eagle
Bonasa umbellus,Ruffed Grouse
Regulus calendula,Ruby-crowned Kinglet
Stelgidopteryx serripennis,Northern Rough-winged Swallow
Dolichonyx oryzivorus,Bobolink
Cardellina canadensis,Canada Warbler
Charadrius vociferus,Killdeer
Corvus corax,Common Raven
Chaetura pelagica,Chimney Swift
Pelecanus,Pelicans
Larus argentatus,Herring Gull
Mergus merganser,Common Merganser
Chlidonias niger,Black Tern
Anas platyrhynchos domesticus,Domestic Mallard
Phalacrocorax carbo lucidus,White-breasted Cormorant
Balearica regulorum,Grey Crowned Crane
Anser anser domesticus,Domestic Greylag Goose
Bugeranus carunculatus,Wattled Crane
Cygnus olor,Mute Swan
Columba livia,Rock Pigeon
Laridae,"Gulls, Terns, and Skimmers"
Anatidae,"Ducks, Geese, and Swans"
Junco hyemalis hyemalis,Northern Slate-colored Junco
Anseriformes,Waterfowl
Lanius borealis,Northern Shrike
Bucephala clangula,Common Goldeneye
Botaurus lentiginosus,American Bittern
Vermivora chrysoptera,Golden-winged Warbler
Vireo,Vireos
Passeriformes,Perching Birds
Megascops asio,Eastern Screech-Owl
Empidonax,Empidonax Flycatchers
Myiarchus crinitus,Great Crested Flycatcher
Leiothlypis ruficapilla,Nashville Warbler
Mniotilta varia,Black-and-white Warbler
Hirundo rustica erythrogaster,American Barn Swallow
Accipiter striatus,Sharp-shinned Hawk
Asio otus,Long-eared Owl
Strix varia,Barred Owl
Falco peregrinus,Peregrine Falcon
Strix nebulosa,Great Gray Owl
Anser albifrons,Greater White-fronted Goose
Anas acuta,Northern Pintail
Haemorhous,American Rosefinches
Anas crecca,Green-winged Teal
Mareca strepera,Gadwall
Antigone canadensis tabida,Greater Sandhill Crane
Anas crecca carolinensis,American Green-winged Teal
Mareca americana,American Wigeon
Ardeidae,"Herons, Egrets, and Bitterns"
Buteo lineatus,Red-shouldered Hawk
Aythya affinis,Lesser Scaup
Chroicocephalus philadelphia,Bonaparte's Gull
Haemorhous purpureus,Purple Finch
Colaptes auratus auratus,Southeastern Yellow-shafted Flicker
Picidae,Woodpeckers
Zonotrichia leucophrys,White-crowned Sparrow
Tringa flavipes,Lesser Yellowlegs
Tringa melanoleuca,Greater Yellowlegs
Accipiter,Accipiters
Melospiza lincolnii,Lincoln's Sparrow
Histrionicus histrionicus,Harlequin Duck
Meleagris,Turkeys
Petrochelidon pyrrhonota,Cliff Swallow
Passerculus sandwichensis,Savannah Sparrow
Buteo platypterus,Broad-winged Hawk
Cistothorus platensis,Sedge Wren
Setophaga americana,Northern Parula
Vireo gilvus,Warbling Vireo
Coccothraustes vespertinus,Evening Grosbeak
Contopus cooperi,Olive-sided Flycatcher
Troglodytes hiemalis,Winter Wren
Vireo flavifrons,Yellow-throated Vireo
Tringa,"Shanks, Tattlers, and Allies"
Sterna forsteri,Forster's Tern
Cistothorus palustris,Marsh Wren
Limnodromus scolopaceus,Long-billed Dowitcher
Himantopus mexicanus,Black-necked Stilt
Megascops,Screech-Owls
Phalaropus tricolor,Wilson's Phalarope
Setophaga magnolia,Magnolia Warbler
Setophaga striata,Blackpoll Warbler
Oporornis agilis,Connecticut Warbler
Calidris pusilla,Semipalmated Sandpiper
Colinus virginianus,Northern Bobwhite
Icteridae,New World Blackbirds and Orioles
Calidris alba,Sanderling
Arenaria interpres,Ruddy Turnstone
Gallinula galeata,Common Gallinule
Anas rubripes,American Black Duck
Spiza americana,Dickcissel
Larus hyperboreus,Glaucous Gull
Larus,Large White-headed Gulls
Tympanuchus cupido pinnatus,Northern Greater Prairie-Chicken
Parkesia motacilla,Louisiana Waterthrush
Aythya,"Scaups, Pochards, and Allies"
Geothlypis philadelphia,Mourning Warbler
Parkesia noveboracensis,Northern Waterthrush
Spinus pinus,Pine Siskin
Falco rusticolus,Gyrfalcon
Empidonax alnorum,Alder Flycatcher
Thryothorus ludovicianus,Carolina Wren
Spizella pallida,Clay-colored Sparrow
Empidonax virescens,Acadian Flycatcher
Setophaga cerulea,Cerulean Warbler
Geothlypis formosa,Kentucky Warbler
Vermivora cyanoptera,Blue-winged Warbler
Empidonax minimus,Least Flycatcher
Coccyzus erythropthalmus,Black-billed Cuckoo
Larus marinus,Great Black-backed Gull
Ammodramus savannarum,Grasshopper Sparrow
Setophaga kirtlandii,Kirtland's Warbler
Larus fuscus,Lesser Black-backed Gull
Columba livia domestica,Feral Pigeon
Hydrocoloeus minutus,Little Gull
Xema sabini,Sabine's Gull
Limosa haemastica,Hudsonian Godwit
Clangula hyemalis,Long-tailed Duck
Charadrius semipalmatus,Semipalmated Plover
Calcarius lapponicus,Lapland Longspur
Setophaga pinus,Pine Warbler
Surnia ulula,Northern Hawk Owl
Melanitta perspicillata,Surf Scoter
Melanitta deglandi,White-winged Scoter
Cardellina pusilla,Wilson's Warbler
Podicipedidae,Grebes
Riparia riparia,Bank Swallow
Rissa tridactyla,Black-legged Kittiwake
Anthracothorax prevostii,Green-breasted Mango
Protonotaria citrea,Prothonotary Warbler
Helmitheros vermivorum,Worm-eating Warbler
Alectoris,Rock Partridges
Bombycilla garrulus,Bohemian Waxwing
Charadrius melodus,Piping Plover
Cygnus,True Swans
Ammodramus savannarum pratensis,Eastern Grasshopper Sparrow
Accipitriformes,"Hawks, Eagles, Kites, and Allies"
Euphagus carolinus,Rusty Blackbird
Calidris,Calidris Sandpipers
Troglodytidae,Wrens
Spheniscus humboldti,Humboldt Penguin
Aegypius monachus,Cinereous Vulture
Pavo cristatus,Indian Peafowl
Rhea americana,Greater Rhea
Egretta caerulea,Little Blue Heron
Dryobates scalaris,Ladder-backed Woodpecker
Recurvirostra americana,American Avocet
Cardinalidae,Cardinals and Allies
Chondestes grammacus,Lark Sparrow
Catharus minimus,Gray-cheeked Thrush
Trochilidae,Hummingbirds
Melanerpes lewis,Lewis's Woodpecker
Accipitridae,"Hawks, Eagles, and Kites"
Pluvialis squatarola,Black-bellied Plover
Euphagus cyanocephalus,Brewer's Blackbird
Cairina moschata domestica,Domestic Muscovy Duck
Contopus,Pewees
Vireo solitarius,Blue-headed Vireo
Scolopax,Woodcocks
Colaptes auratus luteus,Northern Yellow-shafted Flicker
Sittidae,Nuthatches
Ixobrychus exilis,Least Bittern
Spatula cyanoptera,Cinnamon Teal
Anser rossii,Ross's Goose
Limnodromus griseus,Short-billed Dowitcher
Larus argentatus smithsonianus,American Herring Gull
Ardea,Great Herons
Butorides,Green-backed Herons
Empidonax flaviventris,Yellow-bellied Flycatcher
Bucorvus leadbeateri,Southern Ground-Hornbill
Turdidae,Thrushes
Centronyx henslowii,Henslow's Sparrow
Pinicola enucleator,Pine Grosbeak
Stercorarius,Skuas and Jaegers
Bubulcus ibis,Cattle Egret
Setophaga dominica,Yellow-throated Warbler
Ara ararauna,Blue-and-yellow Macaw
Haliaeetus leucocephalus washingtoniensis,Northern Bald Eagle
Sitta carolinensis carolinensis,Eastern White-breasted Nuthatch
Melanitta americana,Black Scoter
Dryobates,Dryobates Woodpeckers
Melospiza,Melospiza Sparrows
Aegolius acadicus,Northern Saw-whet Owl
Tympanuchus phasianellus,Sharp-tailed Grouse
Calidris himantopus,Stilt Sandpiper
Galliformes,Landfowl
Leucogeranus leucogeranus,Siberian Crane
Porphyrio martinica,Purple Gallinule
Somateria spectabilis,King Eider
Loxia curvirostra,Red Crossbill
Carduelis carduelis,European Goldfinch
Fulica,Coots
Anser caerulescens,Snow Goose
Pandionidae,Ospreys
Quiscalus,Typical Grackles
Larus glaucoides,Iceland Gull
Mergus,Typical Mergansers
Gavia,Loons
Acanthis hornemanni,Hoary Redpoll
Ixoreus naevius,Varied Thrush
Podiceps grisegena,Red-necked Grebe
Leiothlypis celata,Orange-crowned Warbler
Eurypyga helias,Sunbittern
Pycnonotus cafer,Red-vented Bulbul
Spheniscus demersus,African Penguin
Myadestes townsendi,Townsend's Solitaire
Ictinia mississippiensis,Mississippi Kite
Catharus,Brown Thrushes and Nightingale-Thrushes
Spatula querquedula,Garganey
Somateria mollissima,Common Eider
Columbidae,Pigeons and Doves
Pooecetes gramineus,Vesper Sparrow
Larus schistisagus,Slaty-backed Gull
Pandion haliaetus carolinensis,North American Osprey
Buteo,Buteos
Poecile,Chickadees and Allies
Setophaga citrina,Hooded Warbler
Strigiformes,Owls
Tyrannidae,Tyrant Flycatchers
Scolopacidae,Sandpipers and Allies
Gallus gallus domesticus,Domestic Chicken
Passerina caerulea,Blue Grosbeak
Sialia,Bluebirds
Hirundinidae,Swallows and Martins
Bartramia longicauda,Upland Sandpiper
Spinus,Siskins and New World Goldfinches
Callipepla gambelii,Gambel's Quail
Calidris acuminata,Sharp-tailed Sandpiper
Amadina erythrocephala,Red-headed Finch
Phalacrocoracidae,Cormorants and Shags
Elanoides forficatus,Swallow-tailed Kite
Calidris bairdii,Baird's Sandpiper
Streptopelia decaocto,Eurasian Collared-Dove
Coccyzus americanus,Yellow-billed Cuckoo
Calidris canutus,Red Knot
Parulidae,New World Warblers
Troglodytes,Troglodytes Wrens
Tyrannus verticalis,Western Kingbird
Branta hutchinsii,Cackling Goose
Anthus rubescens,American Pipit
Leiothlypis,Leiothlypis Warblers
Leucophaeus pipixcan,Franklin's Gull
Euphagus,Rusty and Brewer's Blackbirds
Anser canagicus,Emperor Goose
Anas,"Mallards, Pintails, and Allies"
Charadriiformes,Shorebirds and Allies
Stercorarius pomarinus,Pomarine Jaeger
Larinae,Gulls
Larus glaucoides thayeri,Thayer's Gull
Phasianidae,"Pheasants, Grouse, and Allies"
Corvus,Crows and Ravens
Empidonax traillii traillii,Eastern Willow Flycatcher
Junco,Juncos
Spinus tristis tristis,Eastern Goldfinch
Larosterna inca,Inca Tern
Lybius dubius,Bearded Barbet
Anas laysanensis,Laysan Duck
Geronticus eremita,Northern Bald Ibis
Vireo philadelphicus,Philadelphia Vireo
Icteria virens,Yellow-breasted Chat
Calidris maritima,Purple Sandpiper
Parus major,Great Tit
Anas platyrhynchos platyrhynchos,Holarctic Mallard
Crithagra mozambica,Yellow-fronted Canary
Ectopistes migratorius,Passenger Pigeon
Gaviidae,Loons
Rallus limicola,Virginia Rail
Calidris pugnax,Ruff
Alectoris chukar,Chukar
Podiceps,Typical Grebes
Vireo griseus,White-eyed Vireo
Pipilo maculatus,Spotted Towhee
Tringa semipalmata,Willet
Zonotrichia querula,Harris's Sparrow
Meleagris gallopavo domesticus,Domestic Turkey
Cairina moschata,Muscovy Duck
Quiscalus mexicanus,Great-tailed Grackle
Serinus canaria,Island Canary
Geopelia cuneata,Diamond Dove
Lanius ludovicianus,Loggerhead Shrike
Strigidae,Typical Owls
Sturnella,Eastern and Western Meadowlarks
Calidris fuscicollis,White-rumped Sandpiper
Streptopelia roseogrisea,African Collared Dove
Anser anser × cygnoides,Greylag × Swan Goose
Pelecanidae,Pelicans
Anser anser,Greylag Goose
Gallus gallus,Red Junglefowl
Plegadis falcinellus,Glossy Ibis
Athene cunicularia,Burrowing Owl
Leucophaeus atricilla,Laughing Gull
Spizella passerina passerina,Eastern Chipping Sparrow
Colaptes,Flickers and Allies
Numida meleagris,Helmeted Guineafowl
Nyctanassa violacea,Yellow-crowned Night-Heron
Phoenicopterus ruber,American Flamingo
Phoenicopterus chilensis,Chilean Flamingo
Ammospiza leconteii,LeConte's Sparrow
Bucephala islandica,Barrow's Goldeneye
Phalaropus lobatus,Red-necked Phalarope
Anser,Grey Geese
Pluvialis dominica,American Golden-Plover
Passerella iliaca iliaca,Eastern Red Fox Sparrow
Taeniopygia bichenovii,Double-barred Finch
Balearica,Crowned Cranes
Setophaga,Setophaga Warblers
Dendrocygna autumnalis,Black-bellied Whistling-Duck
Synoicus chinensis,Blue-breasted Quail
Coturnix coturnix,Common Quail
Estrilda melpoda,Orange-cheeked Waxbill
Serinus canaria domesticus,Domestic Canary
Melopsittacus undulatus,Budgerigar
Setophaga palmarum palmarum,Western Palm Warbler
Eremophila alpestris praticola,Prairie Horned Lark
Ammospiza nelsoni,Nelson's Sparrow
Fringillidae,"Finches, Euphonias, and Allies"
Corvus corax principalis,Northern Common Raven
Vireo bellii,Bell's Vireo
Coturnix,Coturnix Quails
Buteo jamaicensis borealis,Eastern Red-tailed Hawk
Plegadis,Plegadis Ibises
Icterus,New World Orioles
Setophaga townsendi,Townsend's Warbler
Sturnella neglecta,Western Meadowlark
Perisoreus canadensis,Canada Jay
Setophaga discolor,Prairie Warbler
Numenius phaeopus,Whimbrel
Larus canus,Common Gull
Selasphorus,"Rufous, Allen's, and Allied Hummingbirds"
Elanus leucurus,White-tailed Kite
Stercorarius parasiticus,Parasitic Jaeger
Gavia stellata,Red-throated Loon
Lanius borealis borealis,American Northern Shrike
Cardinalis cardinalis cardinalis,Eastern Cardinal
Passer domesticus domesticus,European house sparrow
Cygnus columbianus columbianus,Whistling Swan
Mareca penelope,Eurasian Wigeon
Aegolius funereus,Boreal Owl
Aechmophorus occidentalis,Western Grebe
Branta hutchinsii hutchinsii,Richardson's Cackling Goose
Accipiter gentilis,Northern Goshawk
Buteo jamaicensis harlani,Harlan's Hawk
Mergus merganser americanus,American Common Merganser
Aix galericulata,Mandarin Duck
Ramphastos ambiguus,Yellow-throated Toucan
Numididae,Guineafowl
Larus argentatus hyperboreus,Nelson's Gull
Aythya fuligula,Tufted Duck
Turdus,Typical Thrushes
Zonotrichia atricapilla,Golden-crowned Sparrow
Plegadis chihi,White-faced Ibis
Fulica americana americana,North American Coot
Cardinalis,Typical Cardinals
Bubo virginianus virginianus,Eastern Great Horned Owl
Numida meleagris domesticus,Domestic Guineafowl
Coturnicops noveboracensis,Yellow Rail
Limosa fedoa,Marbled Godwit
Limnodromus,Dowitchers
Setophaga nigrescens,Black-throated Gray Warbler
Calcarius pictus,Smith's Longspur
Regulidae,Kinglets
Stelgidopteryx,Rough-winged Swallows
Dryocopus,Black Woodpeckers
Sterninae,Terns and Noddies
Vermivora,Blue-winged and Golden-winged Warblers
Sialia currucoides,Mountain Bluebird
Piciformes,"Woodpeckers, Barbets, and Allies"
Gallus,Junglefowl
Passer,True Sparrows
Sturnus,European and Spotless Starlings
Phalacrocorax brasilianus,Neotropic Cormorant
Dryocopus pileatus abieticola,Northern Pileated Woodpecker
Passerina amoena,Lazuli Bunting
Pipilo erythrophthalmus erythrophthalmus,Red-eyed Eastern Towhee
Stercorarius longicaudus,Long-tailed Jaeger
Sternula antillarum,Least Tern
Pyrrhura molinae,Green-cheeked Parakeet
Nymphicus hollandicus (domestic type),Domestic Cockatiel
Ardeinae,Typical Herons and Egrets
Dryobates pubescens medianus,Northern Downy Woodpecker
Melopsittacus undulatus (domestic type),Domestic Budgerigar
Empidonax hammondii,Hammond's Flycatcher
Tyto alba,Barn Owl
Charadrius,Typical Plovers
Pica hudsonia,Black-billed Magpie
Rallus elegans,King Rail
Cathartes,Turkey and Yellow-headed Vultures
Colibri thalassinus,Mexican Violetear
Dromaius novaehollandiae,Emu
Calidris subruficollis,Buff-breasted Sandpiper
Erithacus rubecula,European Robin
Fringilla coelebs,Common Chaffinch
Selasphorus rufus,Rufous Hummingbird
Phalacrocorax,Typical Cormorants and Shags
Picoides arcticus,Black-backed Woodpecker
Psittaciformes,Parrots
Phoenicurus phoenicurus,Common Redstart
Columba,Old World Pigeons
Falcipennis canadensis,Spruce Grouse
Columbiformes,Pigeons and Doves
Callonetta leucophrys,Ringed Teal
Pluvialis,Golden Plovers and Black-bellied Plover
Gruidae,Cranes
Passer montanus,Eurasian Tree Sparrow
Spinus pinus pinus,Northern Pine Siskin
Branta,Black Geese
Branta bernicla,Brant
Streptopelia,Turtle-Doves and Collared-Doves
Chrysolophus pictus,Golden Pheasant
Phalaropus fulicarius,Red Phalarope
Selasphorus sasin,Allen's Hummingbird
Anser cygnoides domesticus,Domestic Swan Goose
Charadrius nivosus,Snowy Plover
Melanerpes,Melanerpes Woodpeckers
Gallinago,Typical Snipes
Geothlypis,Yellowthroats and Allies
Caprimulgidae,Nightjars and Nighthawks
Dolichonyx,Bobolinks
Pavo,Peafowl
Gavia arctica,Arctic Loon
Grus grus,Common Crane
Agelaius,Agelaius Blackbirds
Gavia pacifica,Pacific Loon
Corvus albus,Pied Crow
Sula,Typical Boobies
Ardea alba egretta,American Great Egret
Parkesia,Waterthrushes
Phainopepla nitens,Phainopepla
Pagophila eburnea,Ivory Gull
Antrostomus,Typical American Nightjars
Hirundo,Typical Swallows
Myiarchus cinerascens,Ash-throated Flycatcher
Tadorna tadorna,Common Shelduck
Pheucticus,Pheucticus Grosbeaks
Poecile carolinensis,Carolina Chickadee
Nymphicus hollandicus,Cockatiel
Spheniscus,Banded Penguins
Chauna torquata,Southern Screamer
Leiothlypis ruficapilla ruficapilla,Eastern Nashville Warbler
Gracula religiosa,Common Hill Myna
Antigone antigone,Sarus Crane
Taeniopygia guttata,Zebra Finch
Buteo swainsoni,Swainson's Hawk
Elanus,Elanus Kites
Antigone canadensis pulla,Mississippi Sandhill Crane
Piranga ludoviciana,Western Tanager
Sturnidae,Starlings
Corvidae,"Crows, Jays, and Magpies"
Sturnia,Sturnia Starlings
Antigone,Antigone Cranes
Sturnus unicolor,Spotless Starling
Anthropoides paradiseus,Blue Crane
Balearica pavonina,Black Crowned Crane
Anthropoides virgo,Demoiselle Crane
Grus japonensis,Red-crowned Crane
Zonotrichia leucophrys gambelii,Gambel's White-crowned Sparrow
Buteo jamaicensis calurus,Western Red-tailed Hawk
Numenius americanus,Long-billed Curlew
Larus californicus,California Gull
Rhodostethia rosea,Ross's Gull
Calypte anna,Anna's Hummingbird
Sterna paradisaea,Arctic Tern
Branta canadensis parvipes,Lesser Canada Goose
Cygnus cygnus,Whooper Swan
Sayornis saya,Say's Phoebe
Rallidae,"Rails, Gallinules, and Coots"
Synoicus ypsilophorus,Brown Quail
Antigone canadensis canadensis,Lesser Sandhill Crane
Larus argentatus × marinus,Great Lakes Gull
Anser cygnoides,Swan Goose
