id,month,day,year,time_observed_at,time_zone,created_at,quality_grade,latitude,longitude,common_name,n,nn
196769,2,4,2013,2013-02-04 14:02:51 UTC,Central Time (US & Canada),2013-02-12 17:15:45 UTC,casual,43.509944,-89.689413,Downy Woodpecker,750,10
197906,2,13,2013,2013-02-13 19:22:29 UTC,Central Time (US & Canada),2013-02-14 02:22:39 UTC,casual,43.425868,-89.732646,Red-bellied Woodpecker,750,10
246162,4,26,2013,NA,Central Time (US & Canada),2013-04-27 00:44:53 UTC,casual,44.133892,-90.186964,Yellow-rumped Warbler,750,10
383090,8,30,2013,2013-08-30 22:06:56 UTC,Central Time (US & Canada),2013-08-30 22:12:12 UTC,casual,42.713406,-88.972471,Mourning Dove,750,10
674203,4,26,2014,2014-04-26 18:11:21 UTC,Pacific Time (US & Canada),2014-05-12 20:23:22 UTC,research,43.045636,-89.467684,American Goldfinch,493,10
1331131,3,11,2015,NA,Central Time (US & Canada),2015-03-23 04:24:08 UTC,research,42.925928999999996,-88.023546,Red-winged Blackbird,639,10
1790053,7,22,2015,2015-07-22 15:05:46 UTC,Central Time (US & Canada),2015-07-22 17:18:36 UTC,research,44.275158,-88.250288,Great Blue Heron,639,10
2765490,1,28,2016,2016-01-28 15:53:11 UTC,Central Time (US & Canada),2016-03-10 19:25:50 UTC,research,45.41746249,-92.64518917,Pileated Woodpecker,1961,10
3059700,4,29,2016,2016-04-29 22:27:53 UTC,Central Time (US & Canada),2016-04-30 02:28:31 UTC,casual,44.97733529,-87.18631354,Chipping Sparrow,1961,10
3453091,6,13,2016,2016-06-13 13:40:00 UTC,Arizona,2016-06-14 01:11:53 UTC,research,43.04049,-89.42674333,Eastern Wood-Pewee,1961,10
3472474,6,17,2016,2016-06-17 14:09:00 UTC,Bogota,2016-06-17 17:44:44 UTC,research,46.6377,-91.27704,American Redstart,1961,10
4947431,1,1,2017,2017-01-01 18:02:00 UTC,Pacific Time (US & Canada),2017-01-15 03:54:28 UTC,research,43.0897212,-89.41543,Redhead,2017,10
5108712,2,8,2017,2017-02-08 19:20:00 UTC,Central Time (US & Canada),2017-02-14 19:25:39 UTC,casual,46.7207737,-92.1040796,Snowy Owl,2017,10
5524522,3,31,2017,2017-03-31 22:50:00 UTC,Central Time (US & Canada),2017-04-01 03:49:53 UTC,research,43.12788737,-88.9152481,Killdeer,2017,10
6177026,5,11,2017,2017-05-11 13:27:00 UTC,Central Time (US & Canada),2017-05-12 00:46:42 UTC,research,42.51919667,-89.306715,Scarlet Tanager,2017,10
12139431,5,4,2018,2018-05-04 18:28:35 UTC,Central Time (US & Canada),2018-05-04 20:42:33 UTC,research,42.45860777,-87.87541005,Spotted Sandpiper,4145,10
12730588,5,20,2018,2018-05-20 19:19:00 UTC,Pacific Time (US & Canada),2018-05-23 03:44:49 UTC,research,43.04720466,-89.46408391,Bay-breasted Warbler,4145,10
13931148,5,12,2018,2018-05-12 21:11:00 UTC,Eastern Time (US & Canada),2018-07-01 00:42:01 UTC,research,43.63440098,-88.66673159,Cape May Warbler,4145,10
15656599,8,18,2018,2018-08-18 23:39:00 UTC,Central Time (US & Canada),2018-08-19 00:29:39 UTC,research,43.92375378,-89.84762911,Common Nighthawk,4145,10
20399209,2,16,2019,2019-02-16 20:59:00 UTC,Central Time (US & Canada),2019-02-16 22:24:39 UTC,research,42.71864266,-89.01019255,American Herring Gull,7966,10
21176574,3,12,2019,2019-03-12 14:43:00 UTC,Central Time (US & Canada),2019-03-12 15:31:53 UTC,research,42.67600713,-88.82104595,Eastern Meadowlark,7966,10
22439073,4,12,2019,2019-04-12 16:42:00 UTC,Central Time (US & Canada),2019-04-13 23:34:12 UTC,research,42.9545099,-89.4382138,Lesser Yellowlegs,7966,10
22603491,4,16,2019,2019-04-16 20:55:00 UTC,Central Time (US & Canada),2019-04-17 13:00:52 UTC,research,42.70825456,-88.66764868,Northern Rough-winged Swallow,7966,10
24853300,5,9,2019,2019-05-09 22:07:52 UTC,Hawaii,2019-05-09 20:20:00 UTC,research,42.57540395,-90.6604588,Black Tern,7966,10
24862656,5,9,2019,2019-05-09 23:30:00 UTC,Central Time (US & Canada),2019-05-09 23:53:58 UTC,research,42.7354151,-88.83757318,Yellow-throated Vireo,7966,10
24946868,5,11,2019,2019-05-11 12:14:00 UTC,Central Time (US & Canada),2019-05-11 18:05:02 UTC,research,42.78147499,-88.91620671,Northern Waterthrush,7966,10
25344515,5,18,2019,2019-05-18 11:18:00 UTC,Central Time (US & Canada),2019-05-18 21:50:28 UTC,research,42.78100517,-88.91534021,Canada Warbler,7966,10
29760901,7,28,2019,2019-07-28 17:52:00 UTC,Central Time (US & Canada),2019-07-29 02:37:05 UTC,research,43.63295465,-88.63828037,Merlin,7966,10
37729260,1,18,2020,2020-01-18 21:40:00 UTC,Eastern Time (US & Canada),2020-01-19 01:29:44 UTC,research,43.017445,-87.902875,Great Black-backed Gull,16280,10
39669673,3,7,2020,2020-03-07 21:16:00 UTC,Central Time (US & Canada),2020-03-07 22:08:02 UTC,research,42.74374247,-88.71571881,Greater White-fronted Goose,16280,10
41460045,4,5,2020,2020-04-05 14:01:00 UTC,Central Time (US & Canada),2020-04-05 17:46:29 UTC,research,42.61054899,-88.83473325,Brewer's Blackbird,16280,10
44684474,5,2,2020,2020-05-02 20:31:00 UTC,Central Time (US & Canada),2020-05-03 03:18:54 UTC,research,43.065265,-87.87071,Blue-headed Vireo,16280,10
45215206,5,7,2020,2020-05-07 19:45:00 UTC,Central Time (US & Canada),2020-05-07 22:43:36 UTC,research,42.896025,-88.16062333,Prothonotary Warbler,16280,10
45813172,5,13,2020,2020-05-13 17:30:00 UTC,Central Time (US & Canada),2020-05-13 21:07:51 UTC,research,43.346265,-87.88430333,Golden-winged Warbler,16280,10
47554027,5,10,2020,2020-05-10 13:41:00 UTC,Central Time (US & Canada),2020-05-27 21:02:56 UTC,research,43.02200856,-89.45682688,Least Bittern,16280,10
59873860,9,13,2020,2020-09-13 17:57:42 UTC,Central Time (US & Canada),2020-09-17 14:28:05 UTC,research,42.972218,-87.935235,Snow Goose,16280,10
67639561,1,5,2021,2021-01-05 07:21:00 UTC,UTC,2021-01-05 22:59:52 UTC,research,42.9130948,-89.21597944,Domestic Greylag Goose,17631,10
68560448,1,11,2021,2021-01-11 23:01:00 UTC,Central Time (US & Canada),2021-01-24 19:44:46 UTC,research,44.39799695,-89.60648086,Short-eared Owl,17631,10
73212551,3,23,2021,2021-03-23 10:18:00 UTC,UTC,2021-04-07 17:17:04 UTC,needs_id,43.68405578,-91.11822614,"Hawks, Eagles, and Kites",17631,10
78157621,5,8,2021,2021-05-08 17:42:00 UTC,Central Time (US & Canada),2021-05-10 00:09:23 UTC,research,43.19981354,-90.05926,Lark Sparrow,17631,10
79404143,5,16,2021,2021-05-16 23:25:00 UTC,Eastern Time (US & Canada),2021-05-19 15:36:35 UTC,research,44.457899,-87.495155,Dunlin,17631,10
79434929,5,19,2021,2021-05-19 09:13:14 UTC,UTC,2021-05-19 20:00:31 UTC,research,44.09227869,-87.64859192,Black-bellied Plover,17631,10
80641560,5,27,2021,2021-05-27 21:44:00 UTC,Central Time (US & Canada),2021-05-28 18:48:58 UTC,research,43.7303894,-88.7264845,Bank Swallow,17631,10
82095269,4,15,2021,2021-04-15 16:15:00 UTC,Central Time (US & Canada),2021-06-07 23:54:39 UTC,research,45.44886381,-89.07412969,Red-necked Grebe,17631,10
